 Map ID #, Date Sampled in 2023, NAD27 X cord EAST 17T, NAD27 Y cord NORTH, Depth (ft) 2023, Secchi Depth  (m) 2021,  All species abundance, Native Sp. Abundance, Non-Native sp. Abundance, Ceratophyllum Abundance, Elodea sp. Abundance, Heteranthera dubia Abundance, Lemna trisulca Abundance, Myriophyllum spicatum Abundance, Najas flexilis Abundance, Najas guadalupensis Abundance, Najas minor Abundance, Potamogeton crispus Abundance, Potamogeton praelongus Abundance, Potamogeton pusillus Abundance, Potamogeton zosteriformis Abundance, Vallisneria americana Abundance, N. obtusa Abundance
62,19-Aug,639700,4663200,2.8,2.75,T,T,T,Z,T,Z,Z,T,T,Z,T,T,Z,Z,Z,Z,Z
63,19-Aug,640400,4663200,2.9,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
64,19-Aug,640500,4663200,3.4,1,T,T,T,Z,T,Z,Z,T,T,Z,Z,Z,Z,Z,Z,Z,Z
65,19-Aug,640800,4663200,3,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
66,19-Aug,641100,4663200,4.2,1,T,T,T,Z,T,T,Z,Z,Z,Z,T,T,Z,Z,Z,Z,Z
67,19-Aug,641100,4663300,2.9,1,S,T,S,Z,T,T,Z,T,Z,T,S,Z,Z,Z,Z,Z,Z
68,19-Aug,640800,4663300,2.7,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
69,19-Aug,640600,4663300,3.2,1,T,T,T,Z,T,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z
70,19-Aug,640500,4663300,2.7,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
71,19-Aug,639700,4663300,4.2,1,S,S,S,T,T,S,Z,S,T,Z,T,T,Z,Z,T,Z,Z
72,19-Aug,639600,4663400,2.8,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
73,19-Aug,639800,4663400,2.4,1,T,T,T,T,Z,Z,Z,T,Z,Z,T,Z,Z,Z,Z,Z,Z
74,19-Aug,640400,4663400,4,1,T,T,T,Z,T,Z,Z,T,Z,Z,T,Z,Z,Z,Z,T,Z
75,19-Aug,640500,4663400,2.3,1,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z
76,19-Aug,640800,4663400,3.4,1,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
77,19-Aug,641000,4663400,2.9,1,T,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
78,19-Aug,641400,4663400,2.1,1.5,S,T,S,Z,T,T,Z,Z,Z,T,S,T,Z,Z,Z,Z,Z
79,19-Aug,641400,4663500,3.9,1.5,T,T,T,T,Z,Z,Z,Z,Z,T,T,Z,Z,Z,Z,Z,Z
80,19-Aug,641000,4663500,3,1,T,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,T,Z,Z
81,19-Aug,640700,4663500,2.7,1,T,Z,T,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z
82,19-Aug,640400,4663500,3.5,1,T,Z,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z
83,19-Aug,640300,4663500,3.5,1,T,T,Z,Z,T,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z
84,19-Aug,639800,4663500,3.9,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
85,19-Aug,639600,4663500,3.2,1,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
86,19-Aug,639500,4663600,3,1,T,T,Z,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
87,19-Aug,639700,4663600,5.6,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
88,19-Aug,640100,4663600,3.2,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
89,19-Aug,640200,4663600,3.8,1,T,T,Z,Z,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,Z,Z,Z
90,19-Aug,640300,4663600,4,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
91,19-Aug,640600,4663600,3.2,1,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
92,19-Aug,640900,4663600,3.1,1,T,T,Z,T,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
93,19-Aug,641000,4663600,4.3,1,T,T,T,Z,T,T,Z,Z,Z,Z,T,Z,Z,Z,T,Z,Z
94,19-Aug,641400,4663600,2.9,1,S,T,S,Z,T,T,Z,Z,Z,Z,S,T,Z,Z,T,Z,T
95,19-Aug,641300,4663700,2.6,1,S,S,S,T,Z,Z,Z,T,T,Z,S,Z,Z,Z,Z,T,Z
96,19-Aug,640800,4663700,3.2,1,S,T,S,Z,T,Z,Z,T,T,Z,S,Z,Z,Z,Z,Z,Z
97,19-Aug,640100,4663700,3.9,1,T,T,T,Z,T,Z,Z,Z,Z,Z,T,Z,Z,Z,Z,T,Z
